,PassengerId,Sex
520,521,female
521,522,male
522,523,male
523,524,female
524,525,male
525,526,male
526,527,female
527,528,male
528,529,male
529,530,male
530,531,female
531,532,male
532,533,male
533,534,female
534,535,female
535,536,female
536,537,male
537,538,female
538,539,male
539,540,female
540,541,female
541,542,female
542,543,female
543,544,male
544,545,male
545,546,male
546,547,female
547,548,male
548,549,male
549,550,male
550,551,male
551,552,male
552,553,male
553,554,male
554,555,female
555,556,male
556,557,female
557,558,male
558,559,female
559,560,female
560,561,male
561,562,male
562,563,male
563,564,male
564,565,female
565,566,male
566,567,male
567,568,female
568,569,male
569,570,male
570,571,male
571,572,female
572,573,male
573,574,female
574,575,male
575,576,male
576,577,female
577,578,female
578,579,female
579,580,male
580,581,female
581,582,female
582,583,male
583,584,male
584,585,male
585,586,female
586,587,male
587,588,male
588,589,male
589,590,male
590,591,male
591,592,female
592,593,male
593,594,female
594,595,male
595,596,male
596,597,female
597,598,male
598,599,male
599,600,male
600,601,female
601,602,male
602,603,male
603,604,male
604,605,male
605,606,male
606,607,male
607,608,male
608,609,female
609,610,female
610,611,female
611,612,male
612,613,female
613,614,male
614,615,male
615,616,female
616,617,male
617,618,female
618,619,female
619,620,male
620,621,male
621,622,male
622,623,male
623,624,male
624,625,male
625,626,male
626,627,male
627,628,female
628,629,male
629,630,male
630,631,male
631,632,male
632,633,male
633,634,male
634,635,female
635,636,female
636,637,male
637,638,male
638,639,female
639,640,male
640,641,male
641,642,female
642,643,female
643,644,male
644,645,female
645,646,male
646,647,male
647,648,male
648,649,male
649,650,female
650,651,male
651,652,female
652,653,male
653,654,female
654,655,female
655,656,male
656,657,male
657,658,female
658,659,male
659,660,male
660,661,male
661,662,male
662,663,male
663,664,male
664,665,male
665,666,male
666,667,male
667,668,male
668,669,male
669,670,female
670,671,female
671,672,male
672,673,male
673,674,male
674,675,male
675,676,male
676,677,male
677,678,female
678,679,female
679,680,male
680,681,female
681,682,male
682,683,male
683,684,male
684,685,male
685,686,male
686,687,male
687,688,male
688,689,male
689,690,female
690,691,male
691,692,female
692,693,male
693,694,male
694,695,male
695,696,male
696,697,male
697,698,female
698,699,male
699,700,male
700,701,female
701,702,male
702,703,female
703,704,male
704,705,male
705,706,male
706,707,female
707,708,male
708,709,female
709,710,male
710,711,female
711,712,male
712,713,male
713,714,male
714,715,male
715,716,male
716,717,female
717,718,female
718,719,male
719,720,male
720,721,female
721,722,male
722,723,male
723,724,male
724,725,male
725,726,male
726,727,female
727,728,female
728,729,male
729,730,female
730,731,female
731,732,male
732,733,male
733,734,male
734,735,male
735,736,male
736,737,female
737,738,male
738,739,male
739,740,male
740,741,male
741,742,male
742,743,female
743,744,male
744,745,male
745,746,male
746,747,male
747,748,female
748,749,male
749,750,male
750,751,female
751,752,male
752,753,male
753,754,male
754,755,female
755,756,male
756,757,male
757,758,male
758,759,male
759,760,female
760,761,male
761,762,male
762,763,male
763,764,female
764,765,male
765,766,female
766,767,male
767,768,female
768,769,male
769,770,male
770,771,male
771,772,male
772,773,female
773,774,male
774,775,female
775,776,male
776,777,male
777,778,female
778,779,male
779,780,female
780,781,female
781,782,female
782,783,male
783,784,male
784,785,male
785,786,male
786,787,female
787,788,male
788,789,male
789,790,male
790,791,male
791,792,male
792,793,female
793,794,male
794,795,male
795,796,male
796,797,female
797,798,female
798,799,male
799,800,female
800,801,male
801,802,female
802,803,male
803,804,male
804,805,male
805,806,male
806,807,male
807,808,female
808,809,male
809,810,female
810,811,male
811,812,male
812,813,male
813,814,female
814,815,male
815,816,male
816,817,female
817,818,male
818,819,male
819,820,male
820,821,female
821,822,male
822,823,male
823,824,female
824,825,male
825,826,male
826,827,male
827,828,male
828,829,male
829,830,female
830,831,female
831,832,male
832,833,male
833,834,male
834,835,male
835,836,female
836,837,male
837,838,male
838,839,male
839,840,male
840,841,male
841,842,male
842,843,female
843,844,male
844,845,male
845,846,male
846,847,male
847,848,male
848,849,male
849,850,female
850,851,male
851,852,male
852,853,female
853,854,female
854,855,female
855,856,female
856,857,female
857,858,male
858,859,female
859,860,male
860,861,male
861,862,male
862,863,female
863,864,female
864,865,male
865,866,female
866,867,female
867,868,male
868,869,male
869,870,male
870,871,male
871,872,female
872,873,male
873,874,male
874,875,female
875,876,female
876,877,male
877,878,male
878,879,male
879,880,female
880,881,female
881,882,male
882,883,female
883,884,male
884,885,male
885,886,female
886,887,male
887,888,female
888,889,female
889,890,male
890,891,male
